month,orders,gmv,aov
2017-02,29,4853.7,167.36896551724138
2017-03,33,4354.1,131.94242424242427
2017-04,19,1907.7,100.40526315789474
2017-05,18,2153.2000000000003,119.62222222222223
2017-06,30,3636.6000000000004,121.22000000000001
2017-07,50,8083.5,161.67
2017-08,20,2752.6,137.63
2017-09,53,7738.400000000001,146.00754716981132
2017-10,53,7788.5,146.95283018867926
2017-11,102,11138.300000000001,109.19901960784314
2017-12,130,16139.7,124.15153846153846
2018-01,158,19566.2,123.8367088607595
2018-02,100,10333.9,103.339
2018-03,105,12848.56,122.3672380952381
2018-04,118,13995.77,118.60822033898306
2018-05,99,12323.2,124.47676767676768
2018-06,71,8696.68,122.48845070422536
2018-07,65,6707.28,103.18892307692307
